RoadType,SpeedLimit,NodeID,x,y
steps,No data,10860224080,24.9381278,60.1688829
footway,No data,7690598259,24.9382338,60.1685409
footway,No data,515627084,24.937575,60.168878
footway,No data,256257217,24.9367436,60.1689608
footway,No data,515627088,24.9371026,60.1690942
corridor,No data,256274814,24.9347962,60.1690336
footway,No data,6152373294,24.9380715,60.1690793
steps,No data,256257241,24.9384783,60.1692321
footway,No data,10862248776,24.9381365,60.1690738
footway,No data,256258040,24.9383364,60.1695719
steps,No data,316414442,24.9382428,60.1696349
footway,No data,256267080,24.9337491,60.1691795
footway,No data,256272596,24.9333992,60.1694181
footway,No data,256272915,24.9332402,60.1692536
footway,No data,3227099064,24.9315089,60.1686755
footway,No data,256276577,24.9323172,60.1689451
steps,No data,256274810,24.9335543,60.1693286
footway,No data,256267082,24.9334799,60.1693818
footway,No data,256272634,24.9334087,60.1694309
footway,No data,256272912,24.933335,60.1693324
pedestrian,No data,9327554268,24.9341148,60.1695901
footway,No data,506361728,24.9311234,60.1687547
footway,No data,256272627,24.9314633,60.1686937
steps,No data,3226782834,24.9313613,60.1686579
footway,No data,256272631,24.9303916,60.1683609
footway,No data,3215613554,24.9303427,60.1683977
steps,No data,295058219,24.9309635,60.1676202
footway,No data,256275414,24.9306103,60.1684305
steps,No data,9327554273,24.9331066,60.1697304
footway,No data,9337759428,24.9346378,60.1691482
steps,No data,295058201,24.9312095,60.1679612
corridor,No data,3226782851,24.9323285,60.1688456
corridor,No data,9336944376,24.9321223,60.1690737
corridor,No data,256276579,24.9322913,60.1688329
steps,No data,3226782853,24.9321899,60.1689241
primary,30,258187677,24.9242324,60.1614737
footway,No data,258187679,24.9240924,60.1614083
primary,30,9378865920,24.9265322,60.1610474
secondary,30,258188404,24.9228604,60.1620949
primary,40,568147276,24.9229655,60.1620153
secondary,40,258189020,24.9229039,60.162278
primary,40,529507771,24.9226654,60.1622295
cycleway,No data,265975172,24.9279097,60.169757
steps,No data,1783126352,24.9276307,60.1695772
residential,30,266159793,24.9311603,60.1626342
residential,30,6054253595,24.9313136,60.1625226
residential,30,7427913197,24.9309883,60.1627371
primary,30,311509914,24.9272223,60.1614436
residential,30,266159899,24.9275035,60.1613907
primary,30,311043033,24.9275835,60.1615673
primary,30,311043031,24.9277253,60.161467
residential,30,1897461604,24.9298335,60.1665265
residential,30,7699019903,24.9295301,60.1666323
residential,30,6837885713,24.9260649,60.1631638
residential,30,10593987950,24.9253661,60.1629336
footway,No data,1783126188,24.9222862,60.1637536
cycleway,No data,526728822,24.9246774,60.1647977
cycleway,No data,268413883,24.9225573,60.1648363
steps,No data,1372388327,24.9224995,60.1648833
cycleway,No data,276382718,24.9264447,60.1657415
cycleway,No data,2484761189,24.926519,60.1657319
cycleway,No data,1008235262,24.9264244,60.1657027
footway,No data,3205236765,24.9259587,60.1658184
footway,No data,281702369,24.9274211,60.169506
cycleway,No data,281702430,24.9273664,60.1693197
cycleway,No data,6343007829,24.927586,60.1692808
cycleway,No data,281702435,24.9275931,60.1694128
cycleway,No data,281704076,24.9277697,60.1693153
secondary,30,295063686,24.9289181,60.1699041
service,No data,148875337,24.9276306,60.1692546
cycleway,No data,950047954,24.9278154,60.1692886
footway,No data,6343007821,24.9285192,60.1689061
footway,No data,1973739969,24.9289036,60.1685951
footway,No data,281704080,24.9288297,60.1685646
tertiary,30,282730727,24.9289881,60.1684049
residential,30,282731146,24.9288943,60.1683627
tertiary,30,282730917,24.9292557,60.1684381
service,No data,719891446,24.9294363,60.168442
service,No data,282731048,24.929365,60.1685346
service,No data,282730745,24.9292433,60.1684994
tertiary,30,6343007825,24.9283689,60.1688514
footway,No data,5810524709,24.9285715,60.1681923
secondary,30,289567397,24.9327301,60.1711407
service,No data,289567398,24.9327814,60.1710447
service,20,1371731204,24.93341,60.1706037
cycleway,No data,296043622,24.9329363,60.1710502
footway,No data,289567988,24.9304535,60.1703772
footway,No data,295062574,24.9305374,60.1703088
secondary,30,295062587,24.9314269,60.1706817
service,No data,289568006,24.9304237,60.1702741
service,No data,1371748762,24.9303559,60.1703398
footway,No data,289568479,24.9305339,60.1690385
footway,No data,295063669,24.9302793,60.1689553
footway,No data,289568478,24.9306388,60.1689626
pedestrian,No data,10086596420,24.9307985,60.168851
pedestrian,No data,10086596439,24.9308966,60.1690475
pedestrian,No data,10086596430,24.9309244,60.1691662
secondary,30,289568485,24.9292555,60.1699903
secondary,30,447915064,24.9293688,60.1700258
cycleway,No data,313984205,24.9346706,60.1634218
tertiary,30,7908131198,24.9353052,60.1628711
cycleway,No data,310148893,24.939514,60.1651114
residential,30,7631766093,24.9401197,60.1645745
residential,30,7668950091,24.9420413,60.1656779
cycleway,No data,296250768,24.9418479,60.1659235
cycleway,No data,292859321,24.9344228,60.1635027
cycleway,No data,313984213,24.9343157,60.1634644
cycleway,No data,313984204,24.9368456,60.1643548
tertiary,30,300020877,24.9356541,60.1653016
cycleway,No data,310150363,24.9391693,60.1651642
residential,30,299968469,24.9379729,60.1661118
cycleway,No data,296250746,24.9414731,60.1659744
residential,30,296250755,24.9403107,60.1669211
primary_link,30,266159814,24.9286737,60.161943
cycleway,No data,293390266,24.9347641,60.1686465
cycleway,No data,295056690,24.9347216,60.1686384
cycleway,No data,659998480,24.9349809,60.1687216
footway,No data,2260404114,24.9348305,60.1686026
cycleway,No data,293390335,24.9358803,60.1690395
cycleway,No data,295057706,24.9353009,60.1688363
cycleway,No data,6052006595,24.9359718,60.1690762
footway,No data,313962121,24.9359242,60.1690094
footway,No data,7687786283,24.937109,60.1684005
footway,No data,295055259,24.9367359,60.1685737
service,No data,1371750101,24.936127,60.1690084
footway,No data,313962120,24.9361978,60.1691028
footway,No data,313962119,24.9363049,60.1690307
pedestrian,No data,9580009677,24.939403,60.1677917
footway,No data,8874925446,24.9396243,60.1675078
residential,30,295056672,24.9362408,60.1689305
footway,No data,7698729472,24.936859,60.168407
footway,No data,295058834,24.9374895,60.1680304
footway,No data,295055265,24.9374901,60.1679539
footway,No data,7694456392,24.9373223,60.167853
footway,No data,295055275,24.9376228,60.1679477
residential,30,295055293,24.9391326,60.1677816
footway,No data,7694456419,24.9380162,60.167398
